,train,test,validation
Accuracy,0.9829311933106576,0.956421839569161,0.9778418063654033
Precision,0.9661537307831133,0.9147427352048579,0.9561745982759549
Recall,0.9829311933106576,0.956421839569161,0.9778418063654033
F1Score,0.9744702529693374,0.9351180984631623,0.9668868310889603
