,train,test,validation
Accuracy,0.9926291201004211,0.9779868197278911,0.989406179138322
Precision,0.9853125700713362,0.9564582195614747,0.9789245873170933
Recall,0.9926291201004211,0.9779868197278911,0.989406179138322
F1Score,0.9889573128607897,0.9671027228513619,0.9841374753757909
